ID,LICENSE ID,LEGAL_NAME,DOING_BUSINESS_AS_NAME,ADDRESS,CITY,STATE,ZIP CODE
2397735-20150508,2397735,CHICAGO CUPCAKE LLC,CHICAGO CUPCAKE,324 N LEAVITT ST,CHICAGO,IL,60612
2211436-20121229,2211436,"REMEDY CHICAGO, INC.","REMEDY CHICAGO, INC.",970  CRISS CIR,ELK GROVE VILLAGE,IL,60007
2211608-20121229,2211608,SILVIA VILLASENOR,ALASKA PALETERIA Y NEVERIA,3446 W IRVING PARK RD 1ST,CHICAGO,IL,60618
2390926-20150601,2390926,ANDRES QUILES ROJAS,MR QUILES ICE CREAM TRUCK # 3,2300 S THROOP ST,CHICAGO,IL,60608
2252821-,2252821,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2256489-20130520,2256489,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2405902-20150902,2405902,THE CAJUN CONNOISSEUR LLC,THE CAJUN CONNOISSEUR LLC,2300 S THROOP ST,CHICAGO,IL,60608
2359271-20170216,2505475,"FIRECAKES TRUCK ONE, LLC",FIRECAKES TRUCK,68 W HUBBARD ST,CHICAGO,IL,60654
2579332-20180315,2579332,HERNAN GONZALEZ,GUERRERO CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2256460-20130520,2256460,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2641555-20191016,2687375,ERNESTO OZUNA,TAMALES Y RESTAURANT COSTA,10148 S EWING AVE,CHICAGO,IL,60617
2608561-20180727,2608561,"MARTINEZ ICE POPS, INC.",ISLA TROPICAL,3736 W LAWRENCE AVE 1ST,CHICAGO,IL,60625
2211368-20140416,2309971,LEONARDO LOPEZ,BAMBI,2051 W 47TH ST,CHICAGO,IL,60609
2211507-20130116,2221422,JOSE OCAMPO,PALETERIA CARRUCEL,6317 W GRAND AVE,CHICAGO,IL,60639
2397858-20190716,2669189,"SELBY GIBBS HOLDINGS, LLC",HOT DOG FIEND,2300 S THROOP ST,CHICAGO,IL,60608
2211301-20190316,2642761,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6855 N CLARK ST,CHICAGO,IL,60626
2463035-20160505,2463035,MARIA V. TRUJILLO,MARIA V. TRUJILLO,4825 W ARTHINGTON ST 1,CHICAGO,IL,60644
1170287-20110616,2089544,"FALCO'S PIZZA, INC.",FALCO'S PIZZA,2806 W 40TH PL,CHICAGO,IL,60632
2220948-20230516,2898471,"THE FAT SHALLOT, LLC","THE FAT SHALLOT, LLC",2300 S THROOP ST,CHICAGO,IL,60608
2703817-20221016,2866801,TACOS CINCUENTA ARROBAS CORP.,TACOS CINCUENTA ARROBAS,2300 S THROOP ST,CHICAGO,IL,60608
2211521-20121229,2211521,FLIRTY CUPCAKES LLC,FLIRTY CUPCAKES,1030 W TAYLOR ST,CHICAGO,IL,60607
2327399-20140904,2327399,KOSHER Q LLC,MILT'S BBQ,2300 S THROOP ST,CHICAGO,IL,60608
2548795-20180518,2548795,"BLACK DOG GELATO, LLC",BLACK DOG GELATO,324 N LEAVITT ST 1,CHICAGO,IL,60612
2397858-20170716,2534352,"SELBY GIBBS HOLDINGS, LLC",HOT DOG FIEND,2300 S THROOP ST,CHICAGO,IL,60608
2807934-20231214,2807934,ROYAL CARIBBEAN EXPRESS JERK CUISINE FOOD TRUCK LLC,ROYAL CARIBBEAN EXPRESS JERK CUISINE,2300 S THROOP ST,CHICAGO,IL,60608
2211542-20121229,2211542,"PUEBLA ICE CREAM, INC.",PUEBLA ICE CREAM,4601 N ELSTON AVE 1ST,CHICAGO,IL,60630
2534921-20170602,2534921,MISERICORDIA/HEART OF MERCY,MISERICORDIA BAKERY/MISERICORDIA HEARTS AND FLOUR MFV,6300 N RIDGE AVE 2,CHICAGO,IL,60660
2247036-20141016,2353713,JAMAICA ISLAND JERK CHICKEN INCORPORATED,JAMAICA ISLAND JERK CHICKEN,5058 S HALSTED ST 1 C,CHICAGO,IL,60609
2211595-20150316,2378043,"PALETERIA BELMONT, INC.",ARCO IRIS,2950 W BELMONT AVE 1 1,CHICAGO,IL,60618
2211553-20210316,2769423,REYNA DE SABORES INC.,PALETERIA REINA DE SABORES,3015 W LAWRENCE AVE 1ST,CHICAGO,IL,60625
2142066-20120309,2142066,CHICAGO LOCAL MARKETS LLC,THE ROOST,2430-2432 N LINCOLN AVE,CHICAGO,IL,60614
2211417-20121229,2211417,JOSE LOPEZ,PALETERIA JALISCO,4219 N KEDZIE AVE,CHICAGO,IL,60618
2256386-20210616,2784039,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2211293-20210316,2767729,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6955 N CLARK ST,CHICAGO,IL,60626
2457730-20160426,2457730,"WARM BELLY BAKERY, LLC",WARM BELLY BAKERY,324 N LEAVITT ST,CHICAGO,IL,60612
2256370-20190616,2670626,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2211554-20190316,2644859,REYNA DE SABORES INC.,PALETERIA REINA DE SABORES,3015 W LAWRENCE AVE 1ST,CHICAGO,IL,60625
2385445-20190316,2645446,"PALETERIA CARRUCEL,INC.",PALETERIA CARRUCEL,6317 W GRAND AVE,CHICAGO,IL,60639
2211376-20140416,2309979,LEONARDO LOPEZ,BAMBI,2051 W 47TH ST,CHICAGO,IL,60609
2211488-20220816,2868587,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 5,CHICAGO,IL,60623
2905870-20230706,2905870,"REGGIE'S ON WHEELS, LLC",REGGIES ON WHEELS,1900 N AUSTIN AVE  73W,CHICAGO,IL,60639
2211629-20121229,2211629,Eirgo Inc,Homage Street Food,6873 N MILWAUKEE AVE,NILES,IL,60714
2256507-20230516,2898625,JUST DESSERTS 4 YOU - MS. TITTLE'S CUPCAKES CORP.,MS. TITTLE'S CUPCAKES,324 N LEAVITT ST 1ST 100,CHICAGO,IL,60612
2464877-20240516,2959905,YOLIS TAMALES LLC,YOLIS TAMALES,5002 S WESTERN AVE 1ST,CHICAGO,IL,60609
2211376-20121229,2211376,LEONARDO LOPEZ,BAMBI,2051 W 47TH ST,CHICAGO,IL,60609
2211325-20170316,2507514,RAFAEL MAGALLON,RAFAEL MAGALLON,2215 S KEDZIE AVE,CHICAGO,IL,60623
2211630-20121229,2211630,"FFK CULTURE, LLC",CULTURE,2637 S THROOP ST 1 1,CHICAGO,IL,60608
2845634-20220705,2845634,RENE O RODRIGUEZ,COPOS DE NIEVE,6511 N CLARK ST 1,CHICAGO,IL,60626
2211299-20170316,2507456,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6855 N CLARK ST,CHICAGO,IL,60626
2595742-20180530,2595742,CELIA MUNDO & ALEJANDRO MENDOZA,HELADOS MUNDOS,1204 W 36TH PL 1ST,CHICAGO,IL,60609
2211587-20190316,2644884,"PALETERIA BELMONT, INC.",ARCO IRIS,2950 W BELMONT AVE 1 1,CHICAGO,IL,60618
2658758-20191016,2687355,CYNTHIA'S GUMBO EXPRESS INC.,CYNTHIA'S GUMBO EXPRESS,2300 S THROOP ST,CHICAGO,IL,60608
2211469-20170916,2545475,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2256460-20150616,2396287,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2319938-20160716,2468632,ERIK SALAZAR,MINA'S MEXICAN HOME COOKING AND SNACKS,2300 S THROOP ST,CHICAGO,IL,60608
2458361-20160509,2458361,TAQUERIA LOS PATRONCITOS CO.,EL JEFE,324 N LEAVITT ST,CHICAGO,IL,60612
2211547-20121229,2211547,BRIDGEPORT PASTY LLC,BRIDGEPORT PASTY LLC,3322 S MORGAN ST 1,CHICAGO,IL,60608
2211462-20150916,2414793,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
